feature_id,depth_m,depth_severity,coupled_risk_value,risk_level,risk_name
060101050000,0.4593850951162511,Moderate,6,2,Moderate Risk
060101050001,1.551355351520306,High,21,4,Very High Risk
060101050002,0.3129615138366455,Low,4,1,Low Risk
060101050003,0.9977272805428373,High,24,4,Very High Risk
060101050004,0.484089588246187,Moderate,8,3,High Risk
060101050005,0.23938475585934324,Low,6,2,Moderate Risk
060101050006,0.4575243978352954,Moderate,12,3,High Risk
060101050007,0.7000807060433771,Moderate,2,1,Low Risk
060101050008,0.21275516609843287,Low,12,3,High Risk
060101050009,0.21967051648162383,Low,9,3,High Risk
060101050010,0.30729982051449334,Low,2,1,Low Risk
060101050011,0.520341648557489,Moderate,10,3,High Risk
060101050012,0.5392498020733452,Moderate,4,1,Low Risk
060101050013,0.3243593978416296,Low,2,1,Low Risk
060101050014,0.20276282248719446,Low,8,3,High Risk
060101050015,0.38634006886476413,Low,3,1,Low Risk
060101050016,0.41743740687250974,Moderate,2,1,Low Risk
060101050017,0.5521994261014851,Moderate,16,4,Very High Risk
060101050018,0.7377469226521524,Moderate,6,2,Moderate Risk
060101050019,0.4318821703803662,Moderate,6,2,Moderate Risk
060101050020,0.6416614344645782,Moderate,4,1,Low Risk
060101050021,0.968846109569874,High,18,4,Very High Risk
060101050022,0.6771165050629933,Moderate,22,4,Very High Risk
060101050023,0.4683540512443679,Moderate,30,4,Very High Risk
060101050024,0.38374108811174723,Low,8,3,High Risk
060101050025,0.9249268553455815,High,24,4,Very High Risk
060101050026,0.3327250106232114,Low,11,3,High Risk
060101050027,0.27656076493329834,Low,11,3,High Risk
060101050028,1.364721067640376,High,15,4,Very High Risk
060101050029,0.38158644715031315,Low,4,1,Low Risk
060101050030,0.6936751869696351,Moderate,18,4,Very High Risk
060101050031,0.7652454832459478,Moderate,4,1,Low Risk
060101050032,0.43654359302471135,Moderate,8,3,High Risk
060101050033,0.42448706301769173,Moderate,2,1,Low Risk
060101050034,0.8716256232081306,High,15,4,Very High Risk
060101050035,0.37126762876712943,Low,8,3,High Risk
060101050036,1.8045004273405922,Very High,28,4,Very High Risk
060101050037,0.20635722081862456,Low,3,1,Low Risk
060101050038,0.3060566950058892,Low,13,3,High Risk
060101050039,0.7868415473017621,Moderate,4,1,Low Risk
060101050040,0.2965645614196727,Low,4,1,Low Risk
060101050041,0.934709067942623,High,6,2,Moderate Risk
060101050042,1.0405363244350483,High,6,2,Moderate Risk
060101050043,0.4708531438795956,Moderate,10,3,High Risk
060101050044,0.12231349127526048,Low,9,3,High Risk
060101050045,0.4826110405497022,Moderate,2,1,Low Risk
060101050046,1.5964174862599243,High,6,2,Moderate Risk
060101050047,0.5037739263339107,Moderate,14,3,High Risk
060101050048,1.7576581122414991,High,33,4,Very High Risk
060101050049,0.24170976882187065,Low,7,2,Moderate Risk
060101050050,0.4189466679964183,Moderate,18,4,Very High Risk
060101050051,0.5251487860857285,Moderate,14,3,High Risk
060101050052,0.23059444744534174,Low,11,3,High Risk
060101050053,0.43588637418673204,Moderate,2,1,Low Risk
060101050054,0.27691853984107656,Low,5,2,Moderate Risk
060101050055,2.140093103964975,Very High,60,4,Very High Risk
060101050056,0.39655256743890616,Low,4,1,Low Risk
060101050057,0.4680101933408731,Moderate,4,1,Low Risk
060101050058,0.19906271295064473,Low,1,1,Low Risk
060101050059,0.17521338163079855,Low,5,2,Moderate Risk
060101050060,0.12192124105476065,Low,11,3,High Risk
060101050061,0.23535472421980877,Low,4,1,Low Risk
060101050062,0.7009783062805593,Moderate,8,3,High Risk
060101050063,0.7458168454134023,Moderate,2,1,Low Risk
060101050064,0.32726665643505576,Low,1,1,Low Risk
060101050065,0.7640318585653244,Moderate,18,4,Very High Risk
060101050066,0.2611052607166893,Low,2,1,Low Risk
060101050067,0.7962453477349727,Moderate,14,3,High Risk
060101050068,0.311109213342992,Low,7,2,Moderate Risk
060101050069,0.5941041206037996,Moderate,2,1,Low Risk
060101050070,0.9964144583841672,High,15,4,Very High Risk
060101050071,0.25104433671988696,Low,5,2,Moderate Risk
060101050072,0.4478840878868517,Moderate,2,1,Low Risk
060101050073,0.14127795500454582,Low,8,3,High Risk
060101050074,0.5619499658841631,Moderate,30,4,Very High Risk
060101050075,0.7006039825610306,Moderate,4,1,Low Risk
060101050076,0.18571573926932636,Low,2,1,Low Risk
060101050077,0.29232737370074624,Low,3,1,Low Risk
060101050078,0.3530824420748334,Low,16,4,Very High Risk
060101050079,0.42366180987256363,Moderate,32,4,Very High Risk
060101050080,0.7472325345700012,Moderate,2,1,Low Risk
060101050081,1.4458493226737377,High,3,1,Low Risk
060101050082,1.043652871738739,High,18,4,Very High Risk
060101050083,1.510822909986427,High,36,4,Very High Risk
060101050084,0.22715103697743053,Low,7,2,Moderate Risk
060101050085,0.18193262971674198,Low,4,1,Low Risk
060101050086,0.9450367945157281,High,27,4,Very High Risk
060101050087,0.46396188902468477,Moderate,18,4,Very High Risk
060101050088,0.9010918082269248,High,30,4,Very High Risk
060101050089,0.7224743370139683,Moderate,6,2,Moderate Risk
060101050090,0.8883131867228224,High,3,1,Low Risk
060101050091,1.7692112206085218,High,21,4,Very High Risk
060101050092,0.44642135198652333,Moderate,8,3,High Risk
060101050093,0.5314407293927172,Moderate,14,3,High Risk
060101050094,0.32455548210035284,Low,1,1,Low Risk
060101050095,0.1959555764792069,Low,8,3,High Risk
060101050096,0.37483428324869106,Low,1,1,Low Risk
060101050097,0.6948748687929251,Moderate,6,2,Moderate Risk
060101050098,0.7670841538204266,Moderate,18,4,Very High Risk
060101050099,0.37719581693847465,Low,7,2,Moderate Risk
060101050100,0.9331623008804287,High,15,4,Very High Risk
060101050101,1.1079377296097388,High,15,4,Very High Risk
060101050102,0.30440936521024387,Low,2,1,Low Risk
060101050103,0.9381364850547161,High,27,4,Very High Risk
060101050104,1.0119070455399537,High,9,3,High Risk
060101050105,0.36349910442867084,Low,3,1,Low Risk
060101050106,0.2962255364846315,Low,3,1,Low Risk
060101050107,1.716313865057684,High,15,4,Very High Risk
060101050108,0.39196358776761464,Low,7,2,Moderate Risk
060101050109,0.31414759488488675,Low,3,1,Low Risk
060101050110,0.47873885938961186,Moderate,8,3,High Risk
060101050111,0.30033627440111954,Low,4,1,Low Risk
060101050112,0.4246497845434322,Moderate,2,1,Low Risk
060101050113,1.176843642873768,High,18,4,Very High Risk
060101050114,0.21745603602411498,Low,3,1,Low Risk
060101050115,0.3377270996523091,Low,2,1,Low Risk
060101050116,0.2514082869360654,Low,5,2,Moderate Risk
060101050117,0.0903391441550912,Low,5,2,Moderate Risk
060101050118,0.9618641127612281,High,6,2,Moderate Risk
060101050119,0.41525487250468324,Moderate,4,1,Low Risk
060101050120,0.332869703609316,Low,2,1,Low Risk
060101050121,0.26314559341632376,Low,4,1,Low Risk
060101050122,0.23871457200482835,Low,6,2,Moderate Risk
060101050123,0.19725307922948657,Low,1,1,Low Risk
060101050124,0.22794587745031644,Low,2,1,Low Risk
060101050125,0.12904903273590923,Low,3,1,Low Risk
060101050126,0.7750285359596254,Moderate,2,1,Low Risk
060101050127,0.941309738219263,High,3,1,Low Risk
060101050128,1.7339245563079826,High,36,4,Very High Risk
060101050129,0.8151931576178062,High,36,4,Very High Risk
060101050130,0.6260417482275659,Moderate,8,3,High Risk
060101050131,0.6286568351143945,Moderate,4,1,Low Risk
060101050132,0.1240590384984036,Low,7,2,Moderate Risk
060101050133,0.52311682708657,Moderate,8,3,High Risk
060101050134,0.3834238348770711,Low,2,1,Low Risk
060101050135,0.09450649044086376,Low,7,2,Moderate Risk
060101050136,0.26897615099003386,Low,13,3,High Risk
060101050137,0.6724804598692182,Moderate,8,3,High Risk
060101050138,0.5239441237738932,Moderate,12,3,High Risk
060101050139,0.17375372833489813,Low,9,3,High Risk
060101050140,0.5822635557771776,Moderate,4,1,Low Risk
060101050141,1.18492272323944,High,24,4,Very High Risk
060101050142,0.22727811083545413,Low,2,1,Low Risk
060101050143,0.7076622752088372,Moderate,4,1,Low Risk
060101050144,0.44085703983597996,Moderate,10,3,High Risk
060101050145,0.6344912560243345,Moderate,18,4,Very High Risk
060101050146,1.0924864097491047,High,27,4,Very High Risk
060101050147,0.2721832032186742,Low,4,1,Low Risk
060101050148,0.9526099998776197,High,15,4,Very High Risk
060101050149,0.5782318429212722,Moderate,30,4,Very High Risk
